_Glon,_Glat,_RAJ2000,_DEJ2000,recno,Name,EPA,GPA,Source,SimbadName,MASH,_RA,_DE
241.0918852,2.3534794,118.7974917,-23.6367944,248,M 3-4,141,83,DSS2,PN M 3-4,MASH,118.79749,-23.63679
242.6462924,-11.6070438,105.70825,-31.5920833,249,M 3-1,143,78,DSS2,PN M 3-1,MASH,105.70825,-31.59208
242.6822874,-4.4877753,113.0725,-28.4216667,250,G242.6-04.4,98,37,MASH,PN G242.6-04.4,MASH,113.0725,-28.42167
243.3799672,-1.0384238,116.8593667,-27.3353222,251,NGC 2452,116,57,DSS2,NGC 2452,MASH,116.85937,-27.33532
244.6029752,12.5638776,130.0788375,-20.910075,252,A 29,133,80,DSS2,PN A66  29,MASH,130.07884,-20.91007
244.6410763,-0.3123392,118.29,-28.0513889,253,G244.6-00.3,0,121,MASH,PN G244.6-00.3,MASH,118.29,-28.05139
249.8708793,7.1035386,128.5754167,-28.3175,254,G249.8+07.1,55,2,MASH,PN G249.8+07.1,MASH,128.57542,-28.3175
250.3726643,0.1515013,122.25685,-32.6735861,255,A 26,141,85,DSS2,PN A66  26,MASH,122.25685,-32.67359
250.3500889,-5.4866469,116.42125,-35.5844444,256,G250.3-05.4,148,88,MASH,PN G250.3-05.4,MASH,116.42125,-35.58444
250.4288392,-1.3296573,120.8020833,-33.5172222,257,G250.4-01.3,105,48,MASH,PN G250.4-01.3,MASH,120.80208,-33.51722
251.1787395,-1.5493199,121.0591375,-34.2687,258,K 1-21,160,103,DSS2,PN K 1-21,MASH,121.05914,-34.2687
252.6349994,4.4505794,127.9693042,-32.1024139,259,K 1-1,36,163,DSS2,PN K 1-1,MASH,127.9693,-32.10241
253.5770109,10.7797338,134.441475,-28.9599806,260,K 1-2,101,52,DSS2,PN K 1-2,MASH,134.44147,-28.95998
257.5303484,0.6341368,127.7258208,-38.3019389,261,VBRC 1,118,65,DSS2,PN VBRC 1,MASH,127.72582,-38.30194
258.1361819,-0.391434,127.1166167,-39.3945194,262,He 2-9,31,157,HST,Hen 2-9,MASH,127.11662,-39.39452
259.1498688,0.9410339,129.28325,-39.4181667,263,He 2-11,137,86,DSS2,Hen 2-11,MASH,129.28325,-39.41817
261.6143215,3.0050543,133.3779208,-40.0616889,264,He 2-15,33,164,DSS2,Hen 2-15,MASH,133.37792,-40.06169
261.9828346,8.5842311,139.0069,-36.6274333,265,NGC 2818,90,45,DSS2,NGC 2818,MASH,139.0069,-36.62743
264.1648118,-8.142498,122.882875,-48.7213083,266,He 2-7,161,105,DSS2,Hen 2-7,MASH,122.88287,-48.72131
264.4634998,-3.6573799,128.6145292,-46.4260417,267,Wray 17-20,22,150,DSS2,Wray 17-20,MASH,128.61453,-46.42604
265.7516915,4.1012964,138.1108167,-42.42775,268,NGC 2792,146,100,DSS2,NGC 2792,MASH,138.11082,-42.42775
266.8929384,-4.235295,130.09375,-48.7091667,269,G266.8-04.2,125,73,MASH,PN G266.8-04.2,MASH,130.09375,-48.70917
267.5901832,4.6429119,140.3825,-43.3683333,270,G267.5+04.6,142,97,MASH,PN G267.5+04.6,MASH,140.3825,-43.36833
