_Glon,_Glat,_RAJ2000,_DEJ2000,recno,Name,EPA,GPA,Source,SimbadName,MASH,_RA,_DE,α_min,α_max,α_rango
267.5901832,4.6429119,140.3825,-43.3683333,270,G267.5+04.6,142,97,MASH,PN G267.5+04.6,MASH,140.3825,-43.36833,0.9483615831275134,2.258265258078496,1.3099036749509827
268.6620035,5.0907491,141.8670833,-43.7980556,271,G268.6+05.0,50,6,MASH,PN G268.6+05.0,MASH,141.86708,-43.79806,1.239572715268047,2.0439826027408703,0.8044098874728234
269.3014605,-0.8346963,136.3683333,-48.3822222,272,G269.3-00.8,80,32,MASH,PN G269.3-00.8,MASH,136.36833,-48.38222,1.2435272135179964,1.6000009253031882,0.3564737117851917
272.1139054,12.3973133,151.75735,-40.4364056,273,NGC 3132,167,131,DSS2,NGC 3132,MASH,151.75735,-40.43641,0.7276796688687971,2.709351173970697,1.9816715051018998
273.2953797,-3.7873697,137.166875,-53.3205306,274,He 2-18,75,29,DSS2,Hen 2-18,MASH,137.16687,-53.32053,0.4365444206700143,2.242360380737613,1.8058159600675987
273.1994404,-0.3940564,141.0279167,-50.8902778,275,G273.2-00.3,123,79,MASH,PN G273.2-00.3,MASH,141.02792,-50.89028,1.3258610147373897,2.936191234484448,1.6103302197470581
274.3092704,9.1120638,151.4407458,-44.3592417,276,Lo 4,46,11,DSS2,PN Lo 4,MASH,151.44075,-44.35924,0.17618766788897103,2.872039251268133,2.695851583379162
274.6921987,3.5446735,146.8541125,-48.9699889,277,He 2-37,119,80,DSS2,Hen 2-37,MASH,146.85411,-48.96999,0.03236738927702693,3.109792270500348,3.077424881223321
274.8593957,-5.7806467,136.4241667,-55.8138889,278,G274.8-05.7,57,9,MASH,PN G274.8-05.7,MASH,136.42417,-55.81389,1.1398109508582501,2.144404446681431,1.004593495823181
275.0843813,-4.1615305,138.7822792,-54.8788278,279,PB 4,35,170,DSS2,PN PB 4,MASH,138.78228,-54.87883,1.068801657280733,2.243149973317785,1.1743483160370518
274.9957422,1.5193864,145.1704167,-50.7063889,280,G275.0+01.5,13,152,MASH,PN G275.0+01.5,MASH,145.17042,-50.70639,0.29402636706508484,2.897118520977846,2.6030921539127614
